Team 1 ID,Team 1 Score,Team 2 ID,Team 2 Score,Result
5411,10,5617,16,2
5568,16,5617,11,1
5107,16,5076,3,1
5107,16,5076,9,1
5642,6,5568,16,2
5121,16,5572,10,1
5121,16,4742,14,1
4759,15,4532,15,2
5652,16,5710,11,1
5700,16,5730,13,1
5700,14,5652,16,2
5077,14,5755,16,2
5077,10,5755,16,2
5284,16,4784,1,1
5422,16,4784,9,1
4548,16,5569,5,1
5310,16,5741,4,1
5310,1,4456,16,2
5231,16,5593,6,1
4431,10,5454,16,2
4674,16,5569,2,1
5378,16,5593,7,1
4991,16,5231,7,1
4548,6,4608,16,2
5284,18,5752,22,2
4411,16,5741,7,1
5700,13,5554,16,2
5284,1,5422,16,2
4674,16,4608,12,1
4548,17,4608,19,2
5310,11,4411,16,2
4991,19,5378,16,1
4411,6,4456,16,2
5752,16,5422,14,1
5231,2,5378,16,2
5105,16,5075,4,1
5105,16,5075,8,1
5078,16,5112,12,1
5078,16,5112,6,1
4456,9,5422,16,2
4456,8,5422,16,2
4674,16,5378,14,1
4674,16,5378,12,1
4991,16,4608,11,1
4991,7,4608,16,2
4991,16,4608,14,1
5752,16,4411,8,1
5752,14,4411,16,2
5752,14,4411,16,2
5080,16,5069,1,1
5080,16,5069,2,1
4991,11,4411,16,2
4991,16,4411,8,1
4991,13,4411,16,2
4674,16,4411,10,1
4674,6,4411,16,2
4674,14,4411,16,2
4991,16,5422,11,1
4991,16,5422,14,1
5754,16,5074,6,1
5754,16,5074,4,1
5700,7,5454,16,2
5079,16,5067,6,1
5079,2,5067,16,2
5079,16,5067,14,1
5422,16,4456,11,1
5700,16,5709,14,1
5543,16,5095,10,1
5578,1,4554,16,2
5571,12,5757,16,2
5543,16,5454,9,1
5454,7,5652,16,2
4554,16,5757,12,1
4554,16,5757,13,1
5073,16,5756,2,1
5073,16,5756,9,1
4494,16,4456,12,1
5449,10,5758,16,2
5449,14,5758,16,2
5700,16,5095,4,1
5543,16,5671,13,1
5710,16,5709,7,1
4494,10,5758,16,2
4494,16,5758,4,1
4494,16,5758,7,1
5449,9,4742,16,2
5449,16,4742,11,1
5449,16,4742,4,1
4922,16,5728,3,1
5700,16,5454,12,1
5231,4,5543,16,2
5758,16,5449,9,1
5758,16,5449,14,1
4411,16,5727,3,1
4411,19,5727,17,1
4411,16,4494,9,1
4411,16,4494,10,1
4494,12,5569,16,2
4494,16,5569,14,1
4494,16,5569,10,1
5752,1,5700,16,2
5231,16,5086,6,1
5752,16,5554,4,1
5577,16,5306,14,1
5577,16,5306,13,1
4759,16,5569,5,1
4759,16,5569,13,1
5141,16,5116,7,1
5141,13,5116,16,2
5141,19,5116,17,1
5758,16,5760,14,1
4894,16,5597,9,1
5988,16,5759,6,1
5395,16,5125,7,1
5395,16,5580,6,1
5762,12,5451,16,2
4894,14,5125,16,2
4759,14,5760,16,2
5988,14,5125,16,2
5480,16,4800,10,1
5480,16,4800,8,1
5451,16,5758,9,1
5451,16,5758,8,1
5449,11,4800,16,2
5449,16,4800,14,1
5449,11,4800,16,2
4690,5,5577,16,2
4690,9,5577,16,2
5185,7,5540,16,2
4695,16,5030,8,1
4615,16,5758,13,1
4894,7,5455,16,2
5455,21,5759,18,1
4608,10,4494,16,2
4501,6,4615,16,2
4695,16,5455,13,1
5540,16,4615,13,1
4695,16,5195,6,1
5009,11,5759,16,2
5577,4,5480,16,2
5577,16,5480,10,1
5577,16,5480,12,1
4445,16,5365,12,1
4445,16,5365,12,1
4690,16,4800,2,1
4690,17,4800,19,2
4690,16,4800,9,1
4991,16,5593,2,1
4991,16,5593,6,1
4494,16,5593,6,1
5593,16,5745,6,1
5310,16,4695,10,1
5231,16,5454,4,1
5095,2,5554,16,2
5766,16,5451,8,1
4456,16,5395,6,1
4695,16,5653,11,1
5540,9,5395,16,2
4548,26,5766,21,1
5700,3,5543,16,2
5378,9,4494,16,2
5454,16,5095,5,1
5752,16,5543,12,1
5086,16,5554,10,1
5095,3,5714,16,2
5378,19,4608,15,1
5231,4,5086,16,2
4431,17,5730,19,2
5086,16,5767,5,1
5231,20,5454,22,2
5454,9,5463,16,2
5768,16,5769,13,1
5768,16,5769,12,1
5117,16,5105,9,1
5117,16,5105,14,1
5342,16,5640,10,1
5342,16,5640,9,1
5310,16,4494,9,1
5310,16,4494,9,1
4456,16,4548,2,1
4456,16,4548,4,1
5569,25,5593,21,1
5569,16,5593,10,1
5104,13,5113,16,2
5104,18,5113,22,2
5134,16,5754,2,1
5134,16,5754,0,1
5231,16,5543,9,1
5752,16,5086,3,1
5752,16,5086,11,1
5454,16,5730,12,1
4991,14,5758,16,2
4991,16,5758,7,1
4991,16,5758,3,1
4759,16,5569,8,1
4759,13,5569,16,2
4759,2,5569,16,2
5068,16,5102,5,1
5068,14,5102,16,2
5068,12,5102,16,2
5378,16,5310,9,1
5378,9,5310,16,2
5378,7,5310,16,2
5086,7,5714,16,2
5086,11,5714,16,2
5136,16,5073,13,1
5136,16,5073,8,1
5652,16,5463,12,1
5652,16,5463,9,1
